Nombre,Nacionalidad,Club
Ansu Fati,Espana,Monaco
Takumi Minamino,Japon,Liverpool
Takumi Minamino,Japon,Monaco
Folarin Balogun,Estados Unidos,Arsenal
Folarin Balogun,Estados Unidos,Monaco
Mika Biereth,Dinamarca,Monaco
Paris Brunner,Alemania,Monaco
Geronimo Rulli,Argentina,Manchester City
Geronimo Rulli,Argentina,Ajax
Geronimo Rulli,Argentina,Marsella
Jeffrey de Lange,Paises Bajos,Marsella
Jelle Van Neck,Belgica,Marsella
Theo Vermot,Francia,Marsella
Nayef Aguerd,Marruecos,Marsella
Leonardo Balerdi,Argentina,Boca Juniors
Leonardo Balerdi,Argentina,Marsella
Leonardo Balerdi,Argentina,Borussia Dortmund
Facundo Medina,Argentina,Marsella
Benjamin Pavard,Francia,Bayern Munich
Benjamin Pavard,Francia,Lille
Benjamin Pavard,Francia,Inter
Benjamin Pavard,Francia,Marsella
CJ Egan-Riley,Inglaterra,Marsella
Emerson,Italia,Santos
Emerson,Italia,Roma
Emerson,Italia,Chelsea
Emerson,Italia,Lyon
Emerson,Italia,Marsella
Arthur Vermeeren,Belgica,Atletico Madrid
Arthur Vermeeren,Belgica,Marsella
Pierre-Emile Hojbjerg,Dinamarca,Tottenham
Pierre-Emile Hojbjerg,Dinamarca,Bayern Munich
Pierre-Emile Hojbjerg,Dinamarca,Marsella
Quinten Timber,Paises Bajos,Ajax
Quinten Timber,Paises Bajos,Marsella
Bilal Nadir,Marruecos,Marsella
Igor Paixao,Brasil,Marsella
Mason Greenwood,Inglaterra,Manchester United
Mason Greenwood,Inglaterra,Marsella
